stock1, stock2, p_value
LU0122624777, PLECMNG00019, 6.433344641450135e-11
LU0122624777, PLAB00000019, 6.516543367903677e-11
LU0122624777, PLMFO0000013, 6.54120095561259e-11
LU0122624777, PLKETY000011, 6.659404089512912e-11
PLELEKT00016, PLLUBAW00013, 6.96985044436555e-11
PLBSK0000017, PLTOYA000011, 7.930112809566563e-11
PLBRSZW00011, PLDUDA000016, 7.936595507841479e-11
LU0122624777, PLLBPRT00013, 7.949257336434817e-11
PLMDCLG00015, PLULTGM00013, 8.193755888939473e-11
PLIDMSA00044, PLWELTN00012, 8.442366934944075e-11
PLIDMSA00044, PLRNBWT00031, 8.618055455239275e-11
PLELEKT00016, PLTRFRM00018, 8.629297708141742e-11
PLELEKT00016, PLZTKMA00017, 9.346253297338232e-11
NL0011882741, PLWRKSR00019, 9.354525726008576e-11
PLLENTX00010, PLSEKO000014, 9.410628678140598e-11
PLELEKT00016, PLELPO000016, 1.072798419226784e-10
PLGMNGF00017, PLNEWAG00012, 1.1661870313749832e-10
LU0122624777, PLSTIGR00012, 1.2040231852114113e-10
NL0009508712, PLMRCTR00015, 1.236124821997376e-10
PLDGA0000019, PLMKRNP00015, 1.2516701377756127e-10
PLBAUMA00017, PLCFRPT00013, 1.2845967327427792e-10
PLKLNR000017, PLZSTAL00012, 1.2856488887696217e-10
PLKMPTR00012, PLPHRMN00011, 1.2921716427095018e-10
PLPEPES00018, PLZRWZW00012, 1.3764353040784022e-10
PLELKOP00013, PLOPNPL00013, 1.4427349720838528e-10
LU0122624777, PLINPRO00015, 1.456816740028133e-10
PLELEKT00016, PLZSTAL00012, 1.4788124942801166e-10
PLHDRTR00013, PLOPNPL00013, 1.5174899861232549e-10
LU0122624777, NL0000686509, 1.5954043500227255e-10
PLPONAR00012, PLSFNKS00011, 1.7594960483176144e-10
PLMSTSD00019, PLZRWZW00012, 1.812442991559731e-10
PLCMPLD00016, PLZRWZW00012, 1.819128145159042e-10
EE3100099391, PLCOMPR00010, 1.8395862389786828e-10
PLELEKT00016, PLPEKPL00010, 1.915786645681999e-10
AT0000827209, PLMSTZB00018, 1.9666705051591647e-10
PLSKTAN00010, PLSOFTB00016, 2.1739312534994054e-10
PLINTSP00038, PLZSTAL00012, 2.2712191392576144e-10
LU2237380790, PLONCTH00011, 2.338819399123473e-10
FR0000060873, PLVVDGM00014, 2.4525998225024725e-10
PLBAUMA00017, PLWOJAS00014, 2.4741622781112926e-10
PLRELPL00014, PLRFMET00016, 2.4988453387673775e-10
